이벤트_ID,이벤트_이름,이벤트_설명,이벤트_선택지1,이벤트_선택지1_설명,이벤트_선택지2,이벤트_선택지2_설명,이벤트_선택지3,이벤트_선택지3_설명
START,기차여행 시작,오늘도 기차를 타고 여행을 떠납니다. 창밖으로 펼쳐지는 풍경을 보며 무엇을 하실까요?,READ_BOOK,책을 읽으며 시간을 보낸다,TALK_PASSENGER,옆 승객과 대화를 나눈다,LOOK_OUTSIDE,창밖 풍경을 감상한다
READ_BOOK,독서 시간,좋아하는 소설을 읽기 시작했습니다. 흥미진진한 내용에 빠져들어 시간가는 줄 모릅니다.,BOOK_FINISH,책을 다 읽고 만족감을 느낀다,BOOK_SLEEP,책을 읽다가 잠에 빠진다,null,null
TALK_PASSENGER,승객과의 대화,옆자리 할머니와 대화를 나누기 시작했습니다. 할머니는 고향으로 가신다고 하네요.,LISTEN_STORY,할머니의 이야기를 들어드린다,SHARE_FOOD,간식을 나눠드린다,HELP_LUGGAGE,짐을 도와드린다
LOOK_OUTSIDE,창밖 풍경,창밖으로 아름다운 산과 강이 보입니다. 잠시 기차가 터널을 지나가네요.,PHOTO_LANDSCAPE,풍경 사진을 찍는다,WRITE_DIARY,여행 일기를 쓴다,ENJOY_MOMENT,그저 순간을 즐긴다
BOOK_FINISH,독서 완료,책을 다 읽고 나니 뿌듯한 기분입니다. 다음에 읽을 책을 생각해봅니다.,PLAN_NEXT,다음 독서 계획을 세운다,REST_EYES,눈을 감고 휴식을 취한다,TRIP_END,여행을 마무리한다
BOOK_SLEEP,독서 중 잠,책을 읽다가 선잠에 빠졌습니다. 꿈에서 책 속 주인공이 되어 모험을 떠납니다.,DREAM_ADVENTURE,모험 꿈을 꾼다,WAKE_UP,깨어나서 주변을 둘러본다,TRIP_END,여행을 마무리한다
LISTEN_STORY,할머니의 이야기,할머니께서 젊은 시절 이야기를 들려주십니다. 전쟁 중에도 희망을 잃지 않으셨다고 하네요.,MOVED_STORY,감동받아 눈물을 흘린다,ASK_MORE,더 많은 이야기를 부탁드린다,TRIP_END,여행을 마무리한다
SHARE_FOOD,간식 나눔,할머니와 함께 간식을 나눠 먹으며 즐거운 시간을 보냅니다.,RECIPE_SHARE,레시피를 공유한다,TRAVEL_STORY,여행 이야기를 나눈다,TRIP_END,여행을 마무리한다
HELP_LUGGAGE,짐 도움,할머니의 무거운 짐을 도와드렸습니다. 할머니께서 고맙다며 미소를 지으십니다.,BLESSING_RECEIVE,할머니의 축복을 받는다,CONTACT_EXCHANGE,연락처를 교환한다,TRIP_END,여행을 마무리한다
PHOTO_LANDSCAPE,사진 촬영,아름다운 풍경 사진을 찍었습니다. SNS에 올릴 생각에 설렙니다.,EDIT_PHOTO,사진을 편집한다,SHARE_SNS,SNS에 바로 공유한다,TRIP_END,여행을 마무리한다
WRITE_DIARY,일기 작성,여행 일기를 쓰며 오늘의 감정을 정리합니다. 소중한 추억이 될 것 같습니다.,REFLECT_DAY,하루를 되돌아본다,PLAN_TOMORROW,내일 계획을 세운다,TRIP_END,여행을 마무리한다
ENJOY_MOMENT,순간 즐기기,아무 생각 없이 그저 이 순간을 즐깁니다. 평온한 마음이 듭니다.,MEDITATION,명상을 한다,MUSIC_LISTEN,음악을 들으며 휴식한다,TRIP_END,여행을 마무리한다
PLAN_NEXT,독서 계획,다음에 읽을 책들을 리스트로 만들어봅니다. 언제나 읽고 싶은 책이 너무 많네요.,BOOK_RECOMMEND,다른 승객에게 책을 추천한다,BOOKSTORE_PLAN,서점 방문 계획을 세운다,TRIP_END,여행을 마무리한다
REST_EYES,눈 휴식,책을 많이 읽어서 눈이 피곤합니다. 잠시 눈을 감고 휴식을 취합니다.,SLEEP_LIGHT,가벼운 잠에 빠진다,STRETCH,몸을 스트레칭한다,TRIP_END,여행을 마무리한다
DREAM_ADVENTURE,모험 꿈,꿈에서 책 속 주인공이 되어 용과 싸우고 공주를 구합니다. 정말 생생한 꿈이었네요.,DREAM_CONTINUE,꿈을 계속 꾸고 싶다,WAKE_REALITY,현실로 돌아온다,TRIP_END,여행을 마무리한다
WAKE_UP,잠에서 깨어남,선잠에서 깨어나니 창밖 풍경이 바뀌어 있습니다. 어느새 목적지에 거의 도착했네요.,CHECK_TIME,시간을 확인한다,PREPARE_ARRIVAL,도착 준비를 한다,TRIP_END,여행을 마무리한다
MOVED_STORY,감동의 순간,할머니의 이야기에 감동받아 눈물이 납니다. 삶의 지혜를 배우게 됩니다.,THANK_GRANDMA,할머니께 감사를 표한다,LEARN_LESSON,인생의 교훈을 얻는다,TRIP_END,여행을 마무리한다
ASK_MORE,더 많은 이야기,할머니께 더 많은 이야기를 부탁드립니다. 할머니는 웃으며 또 다른 이야기를 들려주십니다.,FAMILY_STORY,가족 이야기를 들려주신다,LOVE_STORY,사랑 이야기를 들려주신다,TRIP_END,여행을 마무리한다
RECIPE_SHARE,레시피 공유,할머니께서 특별한 요리 레시피를 알려주십니다. 집에 가서 꼭 만들어보겠다고 약속드립니다.,WRITE_RECIPE,레시피를 메모한다,COOKING_PLAN,요리 계획을 세운다,TRIP_END,여행을 마무리한다
TRAVEL_STORY,여행 이야기,서로의 여행 경험을 나누며 즐거운 시간을 보냅니다. 새로운 여행지를 추천받습니다.,PLAN_NEXT_TRIP,다음 여행을 계획한다,EXCHANGE_CONTACTS,연락처를 교환한다,TRIP_END,여행을 마무리한다
